,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2020-08-31,513.3898509948168,513.6997708591147,506.1553531211392,507.1432189941406,3147400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02,9.05,0.0,0.0,0.0,0.0,441825000.0,441825000.0,0.0,10133000000.0,17564000000.0,25055000000.0,64000000.0,17564000000.0,17564000000.0,24256000000.0,18078000000.0,17564000000.0,11666000000.0,4000000.0,41190000000.0,11749000000.0,6692000000.0,29441000000.0,59268000000.0,29763000000.0,26382000000.0,-14166000000.0,40548000000.0,29505000000.0,14215000000.0,1803000000.0,11258000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104000000.0,0.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2021-08-31,513.3898509948168,513.6997708591147,506.1553531211392,507.1432189941406,3147400.0,13440000.0,0.24,8576000000.0,8632000000.0,6851000000.0,5007000000.0,4964440000.0,5007000000.0,5079000000.0,5007000000.0,5079000000.0,195929000000.0,195929000000.0,25245000000.0,6708000000.0,189221000000.0,18537000000.0,170684000000.0,170684000000.0,11.27,11.3,171000000.0,87000000.0,1601000000.0,0.0,441825000.0,441825000.0,0.0,10133000000.0,17564000000.0,25055000000.0,64000000.0,17564000000.0,17564000000.0,24256000000.0,18078000000.0,17564000000.0,11666000000.0,4000000.0,41190000000.0,11749000000.0,6692000000.0,29441000000.0,59268000000.0,29763000000.0,26382000000.0,-14166000000.0,40548000000.0,29505000000.0,14215000000.0,1803000000.0,11258000000.0,0.0,5370000000.0,-496000000.0,-161000000.0,41000000.0,-3588000000.0,-5748000000.0,8958000000.0,-3535000000.0,-6488000000.0,1003000000.0,665000000.0,1781000000.0,59000000.0,5079000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2022-08-31,513.3898509948168,513.6997708591147,506.1553531211392,507.1432189941406,3147400.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2023-06-16,513.3898509948168,513.6997708591147,506.1553531211392,507.1432189941406,3147400.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2023-06-17,513.3898509948168,513.6997708591147,506.1553531211392,507.1432189941406,3147400.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2023-06-18,513.3898509948168,513.6997708591147,506.1553531211392,507.1432189941406,3147400.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2023-06-19,513.3898509948168,513.6997708591147,506.1553531211392,507.1432189941406,3147400.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2023-06-20,505.4967620143994,506.41682731432695,501.80686569461926,503.31768798828125,1684400.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2023-06-21,501.5841775340855,505.19663895965977,500.2573680310593,503.24029541015625,1273600.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
2023-06-22,504.27653793128036,508.14075359191554,503.29836622547066,507.6759033203125,1114000.0,26076000.0,0.246,9792000000.0,9898000000.0,7998000000.0,5844000000.0,5764076000.0,5844000000.0,5915000000.0,5844000000.0,5915000000.0,226954000000.0,226954000000.0,27572000000.0,7793000000.0,219161000000.0,19779000000.0,199382000000.0,199382000000.0,13.14,13.17,158000000.0,99000000.0,1925000000.0,0.0,442664000.0,442664000.0,0.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,20642000000.0,27126000000.0,20647000000.0,20642000000.0,15585000000.0,2000000.0,43519000000.0,11521000000.0,6484000000.0,31998000000.0,64166000000.0,31470000000.0,27420000000.0,-15286000000.0,42706000000.0,32696000000.0,17907000000.0,2241000000.0,10203000000.0,0.0,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,-1498000000.0,7392000000.0,-3915000000.0,-4283000000.0,-1563000000.0,724000000.0,1900000000.0,-37000000.0,5915000000.0,409351618560.0,0.789,55.891712,47.140396,0.005,17.331171,1.6087513,0.01,0.088,0.61383045,0.3276534,0.0836,0.30267,0.12613,0.03817,0.04528,0.966,42.118,443073984.0,5993302.0,3.81,2.0,923.89,935.2997,1.97368,32.0,11143999488.0,9948999680.0,0.391,254453006336.0,573.203,4467500032.0,11338999808.0,5.6658
